SF_Id,Name,Object,Field,Before,After,Source,Action,Result,Error,Timestamp
a0BWR0000083yM32AI,AGR-0614,Agreement__c,*record*,"{""Name"": ""AGR-0614"", ""Opportunity__c"": ""006WR00000wkDuiYAE"", ""Opportunity_Name"": ""Summerset Village Apartments"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:38.437068
a0BWR0000083yM42AI,AGR-0615,Agreement__c,*record*,"{""Name"": ""AGR-0615"", ""Opportunity__c"": ""006WR00000wkDuiYAE"", ""Opportunity_Name"": ""Summerset Village Apartments"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:39.021707
a0BWR0000083yM82AI,AGR-0619,Agreement__c,*record*,"{""Name"": ""AGR-0619"", ""Opportunity__c"": ""006WR00000wkDukYAE"", ""Opportunity_Name"": ""Cimarron Estates"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:39.582770
a0BWR0000083yM92AI,AGR-0620,Agreement__c,*record*,"{""Name"": ""AGR-0620"", ""Opportunity__c"": ""006WR00000wkDukYAE"", ""Opportunity_Name"": ""Cimarron Estates"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:40.130952
a0BWR0000083yMD2AY,AGR-0624,Agreement__c,*record*,"{""Name"": ""AGR-0624"", ""Opportunity__c"": ""006WR00000wkDumYAE"", ""Opportunity_Name"": ""Misty Ridge"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:40.665956
a0BWR0000083yME2AY,AGR-0625,Agreement__c,*record*,"{""Name"": ""AGR-0625"", ""Opportunity__c"": ""006WR00000wkDumYAE"", ""Opportunity_Name"": ""Misty Ridge"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:41.161985
a0BWR0000083yMI2AY,AGR-0629,Agreement__c,*record*,"{""Name"": ""AGR-0629"", ""Opportunity__c"": ""006WR00000wkDuoYAE"", ""Opportunity_Name"": ""Park at Shiloh"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:41.709168
a0BWR0000083yMJ2AY,AGR-0630,Agreement__c,*record*,"{""Name"": ""AGR-0630"", ""Opportunity__c"": ""006WR00000wkDuoYAE"", ""Opportunity_Name"": ""Park at Shiloh"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:42.091608
a0BWR0000083yMN2AY,AGR-0634,Agreement__c,*record*,"{""Name"": ""AGR-0634"", ""Opportunity__c"": ""006WR00000wkDuqYAE"", ""Opportunity_Name"": ""Villages at Sugar Road"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:42.640339
a0BWR0000083yMO2AY,AGR-0635,Agreement__c,*record*,"{""Name"": ""AGR-0635"", ""Opportunity__c"": ""006WR00000wkDuqYAE"", ""Opportunity_Name"": ""Villages at Sugar Road"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:43.302133
