SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Note
a01WR00000UGWjkYAH,2840 W SOUTHLAKE BLVD SOUTHLAKE TX,FDH_Activated_Date__c,2022-12-31,2025-07-01,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWr7YAH,3071 W SOUTHLAKE BLVD SOUTHLAKE TX,FDH_Name__c,TX_DFW_SA01_FDH61,TX_DFW_AVR_2025Q3,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWr7YAH,3071 W SOUTHLAKE BLVD SOUTHLAKE TX,FDH_Activated_Date__c,2022-12-31,2025-07-01,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWw9YAH,3220 W SOUTHLAKE BLVD SOUTHLAKE TX,FDH_Name__c,TX_DFW_SA01_FDH61,TX_DFW_AVR_2025Q3,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWw9YAH,3220 W SOUTHLAKE BLVD SOUTHLAKE TX,FDH_Activated_Date__c,2022-12-31,2025-07-01,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGX1dYAH,3600 GOLDEN TRIANGLE BLVD FORT WORTH TX,FDH_Name__c,TX_DFW_SA01_FDH26,TX_DFW_AVR_2025Q3,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGX1dYAH,3600 GOLDEN TRIANGLE BLVD FORT WORTH TX,FDH_Activated_Date__c,2022-12-31,2025-07-01,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGX1oYAH,3604 GOLDEN TRIANGLE BLVD FORT WORTH TX,FDH_Name__c,TX_DFW_SA01_FDH26,TX_DFW_AVR_2025Q3,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGX1oYAH,3604 GOLDEN TRIANGLE BLVD FORT WORTH TX,FDH_Activated_Date__c,2022-12-31,2025-07-01,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGXXCYA5,5760 HEN HOUSE RD FORT WORTH TX,FDH_Name__c,TX_DFW_SA01_FDH68,TX_DFW_AVR_2025Q3,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGXXCYA5,5760 HEN HOUSE RD FORT WORTH TX,FDH_Activated_Date__c,2022-12-31,2025-07-01,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGXY3YAP,5821 EGG FARM RD FORT WORTH TX,FDH_Name__c,TX_DFW_SA01_FDH68,TX_DFW_AVR_2025Q3,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGXY3YAP,5821 EGG FARM RD FORT WORTH TX,FDH_Activated_Date__c,2022-12-31,2025-07-01,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGVuHYAX,12081 KATY RD FORT WORTH TX,FDH_Name__c,TX_DFW_SA01_FDH68,TX_DFW_AVR_2025Q3,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGVuHYAX,12081 KATY RD FORT WORTH TX,FDH_Activated_Date__c,2022-12-31,2025-07-01,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGY1AYAX,8508 PRECINCT LINE RD COLLEYVILLE TX,FDH_Name__c,TX_DFW_SA01_FDH10,TX_DFW_AVR_2025Q3,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGY1AYAX,8508 PRECINCT LINE RD COLLEYVILLE TX,FDH_Activated_Date__c,2022-12-31,2025-07-01,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGMVnYAP,9603 BOAT CLUB RD FORT WORTH TX,FDH_Name__c,TX_DFW_AVR_2025Q3,TX_DFW_SA02_FDH02,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
