SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Note
a02WR00000MFCU7YAP,TX0809-011000068A,Ordered_Product__c,,Internet Service,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcM44YAF,TX0604-006000028A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcM44YAF,TX0604-006000028A,Address_Activation_Date__c,2021-01-01,,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcM99YAF,TX0604-006000005A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcM99YAF,TX0604-006000005A,Address_Activation_Date__c,2021-04-08,,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000JsEO3YAN,TX0609-006002170A,Address_Activation_Date__c,2025-01-01,,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcMW3YAN,TX0602-002000131A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcMW3YAN,TX0602-002000131A,Address_Activation_Date__c,2022-04-15,,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcMcZYAV,TX0606-014000134A,Address_Activation_Date__c,2021-01-01,2024-09-26,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcMcaYAF,TX0606-014000269A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcMcaYAF,TX0606-014000269A,Address_Activation_Date__c,2024-12-31,,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcMgwYAF,TX0606-014000138A,Address_Activation_Date__c,2021-08-09,2025-07-05,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcMijYAF,TX0602-034000214A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcMijYAF,TX0602-034000214A,Address_Activation_Date__c,2021-01-01,,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcN8BYAV,TX0602-034000217A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcN8BYAV,TX0602-034000217A,Address_De_activation_Date__c,,2026-04-14,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcN8BYAV,TX0602-034000217A,Address_Deactivated__c,No,Yes,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000JsEO4YAN,TX0607-008000007A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000JsEO4YAN,TX0607-008000007A,Address_De_activation_Date__c,,2026-04-09,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000JsEO4YAN,TX0607-008000007A,Address_Deactivated__c,No,Yes,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000JsEO5YAN,TX0601-068002084A,Address_Activation_Date__c,2025-01-01,,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcNRuYAN,TX0603-009000279A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcNRuYAN,TX0603-009000279A,Address_Activation_Date__c,2021-01-01,,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcNSbYAN,TX0603-009000302A,Address_Activation_Date__c,2021-01-01,2025-06-20,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcNfeYAF,TX0606-014000147A,Address_Activation_Date__c,2021-01-01,2025-07-05,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcNlBYAV,TX1001-001000223A,Activated__c,No,Yes,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcNlBYAV,TX1001-001000223A,Address_Activation_Date__c,,2026-04-21,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcNlBYAV,TX1001-001000223A,Ordered_Product__c,,Business 1 Gig (1000 Mbps),apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcNlBYAV,TX1001-001000223A,Name,660 E FM 2410 RD HARKER HEIGHTS TX 76548,660 W FM 2410 HARKER HEIGHTS TX 76548,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcNzyYAF,TX0602-033000002A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcNzyYAF,TX0602-033000002A,Address_Activation_Date__c,2021-01-01,,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcO4AYAV,TX1001-006000010A,Unit__c,UNIT 1,UNIT A,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcO4AYAV,TX1001-006000010A,Name,704 EDWARDS DR UNIT 1 HARKER HEIGHTS TX 76548,704 EDWARDS DR UNIT A HARKER HEIGHTS TX 76548,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcO4BYAV,TX1001-006000011A,Unit__c,UNIT 2,UNIT B,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
